DATE,VALUE
2/1/1972,10.2
3/1/1972,
4/1/1972,
5/1/1972,9.96
6/1/1972,
7/1/1972,
8/1/1972,10.02
9/1/1972,
10/1/1972,
11/1/1972,10.02
12/1/1972,
1/1/1973,
2/1/1973,10.05
3/1/1973,
4/1/1973,
5/1/1973,10.05
6/1/1973,
7/1/1973,
8/1/1973,10.25
9/1/1973,
10/1/1973,
11/1/1973,10.49
12/1/1973,
1/1/1974,
2/1/1974,10.53
3/1/1974,
4/1/1974,
5/1/1974,10.63
6/1/1974,
7/1/1974,
8/1/1974,11.15
9/1/1974,
10/1/1974,
11/1/1974,11.57
12/1/1974,
1/1/1975,
2/1/1975,11.51
3/1/1975,
4/1/1975,
5/1/1975,11.39
6/1/1975,
7/1/1975,
8/1/1975,11.31
9/1/1975,
10/1/1975,
11/1/1975,11.24
12/1/1975,
1/1/1976,
2/1/1976,11.18
3/1/1976,
4/1/1976,
5/1/1976,11.01
6/1/1976,
7/1/1976,
8/1/1976,11.07
9/1/1976,
10/1/1976,
11/1/1976,11.02
12/1/1976,
1/1/1977,
2/1/1977,11.14
3/1/1977,
4/1/1977,
5/1/1977,10.81
6/1/1977,
7/1/1977,
8/1/1977,10.86
9/1/1977,
10/1/1977,
11/1/1977,10.86
12/1/1977,
1/1/1978,
2/1/1978,10.86
3/1/1978,
4/1/1978,
5/1/1978,10.84
6/1/1978,
7/1/1978,
8/1/1978,11.09
9/1/1978,
10/1/1978,
11/1/1978,11.29
12/1/1978,
1/1/1979,
2/1/1979,11.6
3/1/1979,
4/1/1979,
5/1/1979,11.73
6/1/1979,
7/1/1979,
8/1/1979,11.88
9/1/1979,
10/1/1979,
11/1/1979,12.85
12/1/1979,
1/1/1980,
2/1/1980,13.28
3/1/1980,
4/1/1980,
5/1/1980,15.72
6/1/1980,
7/1/1980,
8/1/1980,13.91
9/1/1980,
10/1/1980,
11/1/1980,14.29
12/1/1980,
1/1/1981,
2/1/1981,15.84
3/1/1981,
4/1/1981,
5/1/1981,16.04
6/1/1981,
7/1/1981,
8/1/1981,16.92
9/1/1981,
10/1/1981,
11/1/1981,17.36
12/1/1981,
1/1/1982,
2/1/1982,17.05
3/1/1982,
4/1/1982,
5/1/1982,17.2
6/1/1982,
7/1/1982,
8/1/1982,17.08
9/1/1982,
10/1/1982,
11/1/1982,15.97
12/1/1982,
1/1/1983,
2/1/1983,14.81
3/1/1983,
4/1/1983,
5/1/1983,13.9
6/1/1983,
7/1/1983,
8/1/1983,13.5
9/1/1983,
10/1/1983,
11/1/1983,13.46
12/1/1983,
1/1/1984,
2/1/1984,13.32
3/1/1984,
4/1/1984,
5/1/1984,13.53
6/1/1984,
7/1/1984,
8/1/1984,14.08
9/1/1984,
10/1/1984,
11/1/1984,13.91
12/1/1984,
1/1/1985,
2/1/1985,13.37
3/1/1985,
4/1/1985,
5/1/1985,13.16
6/1/1985,
7/1/1985,
8/1/1985,12.72
9/1/1985,
10/1/1985,
11/1/1985,12.39
12/1/1985,
1/1/1986,
2/1/1986,12.29
3/1/1986,
4/1/1986,
5/1/1986,11.45
6/1/1986,
7/1/1986,
8/1/1986,11
9/1/1986,
10/1/1986,
11/1/1986,10.58
12/1/1986,
1/1/1987,
2/1/1987,10.35
3/1/1987,
4/1/1987,
5/1/1987,10.23
6/1/1987,
7/1/1987,
8/1/1987,10.37
9/1/1987,
10/1/1987,
11/1/1987,10.86
