Team,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VOR
ATL,Dennis Schroder,23,79,2485,16.1,0.533,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,3.7,0.071,0.7,-1.4,-0.7,0.8
ATL,Paul Millsap,31,69,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,0.132,0.5,2.1,2.7,2.7
ATL,Dwight Howard,31,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,-0.5,2.8,2.3,2.4
ATL,Tim Hardaway,24,79,2154,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,0.107,1.3,-1.5,-0.3,0.9
ATL,Kent Bazemore,27,73,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.052,-2,1.2,-0.8,0.6
ATL,Thabo Sefolosha,32,62,1596,11.9,0.519,0.304,0.19,3.8,14.7,9.3,9.9,3,1.7,11.9,13.3,0.6,2.7,3.3,0.098,-1.9,3.1,1.2,1.3
ATL,Malcolm Delaney,27,73,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.1,0.005,-4.6,-1.3,-5.9,-1.2
ATL,Mike Muscala,25,70,1237,14.4,0.596,0.326,0.19,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,1.8,1.6,3.4,0.132,-0.4,1.5,1.1,1
ATL,Taurean Waller-Prince,22,59,981,9.8,0.513,0.358,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,1.1,0.054,-3.8,1.5,-2.3,-0.1
ATL,Kyle Korver,35,32,894,10.8,0.591,0.646,0.11,0,10.8,5.5,12.6,1.3,1.2,13.4,14.5,0.7,1,1.6,0.088,-0.5,0.1,-0.4,0.4
ATL,Kris Humphries,31,56,689,13.6,0.514,0.252,0.383,9.7,23,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,1.6,0.115,-3,0.3,-2.7,-0.1
ATL,Ersan Ilyasova,29,26,633,13.5,0.53,0.407,0.288,7.4,18.7,13.1,10.6,1.7,1.1,11.8,19.9,0.5,0.9,1.4,0.106,-0.6,0.5,-0.2,0.3
ATL,Mike Dunleavy,36,30,475,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,0.7,0.5,1.2,0.12,-0.2,-0.8,-1,0.1
ATL,DeAndre' Bembry,22,38,371,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-4.4,0.1,-4.3,-0.2
ATL,Jose Calderon,35,17,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,0.1,0.2,0.3,0.051,-2.8,-1.4,-4.2,-0.1
ATL,Mike Scott,28,18,195,5.9,0.36,0.458,0.136,5.7,15,10.4,12.5,1,1.3,11.3,15.8,-0.3,0.2,-0.1,-0.014,-5.3,-0.1,-5.3,-0.2
ATL,Ryan Kelly,25,16,110,7.8,0.408,0.357,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.1,0.029,-6.2,2.3,-3.9,-0.1
ATL,Lamar Patterson,25,5,40,-1.9,0.276,0.4,0.2,2.8,16.3,9.6,21.1,1.2,0,19.7,22.2,-0.2,0,-0.1,-0.176,-9.9,-1.2,-11.2,-0.1
ATL,Gary Neal,32,2,18,-4.3,0.228,0.286,0.571,0,6,3.1,7.1,0,0,0,21.2,-0.1,0,-0.1,-0.189,-11.8,-4.9,-16.6,-0.1
ATL,Edy Tavares,24,1,4,13.1,0.532,0,2,0,27.1,13.7,0,0,0,0,20.5,0,0,0,-0.047,-8.1,-7,-15.1,0
BOS,Isaiah Thomas,27,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
BOS,Marcus Smart,22,79,2399,12,0.486,0.443,0.334,3.7,10.4,7.1,22,2.6,1.2,15.6,18.8,0.5,2.7,3.2,0.064,-1.1,0.9,-0.3,1
BOS,Jae Crowder,26,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17,4.1,2.5,6.7,0.137,1.4,0.2,1.6,2.1
BOS,Al Horford,30,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1,2,3.1,2.8
BOS,Avery Bradley,26,55,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,1.1,2,3.1,0.081,-0.2,-0.4,-0.5,0.7
BOS,Amir Johnson,29,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.2,2.4,2.2,1.7
BOS,Kelly Olynyk,25,75,1538,15.3,0.603,0.378,0.242,5.3,20.7,13.1,15.2,1.4,1.5,14.6,19,2.2,1.9,4.1,0.127,0.1,0.5,0.7,1
BOS,Jaylen Brown,20,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7
BOS,Terry Rozier,22,74,1263,10.9,0.466,0.436,0.161,3.6,16.3,10,15.2,1.8,0.7,9.7,17.1,0,1.4,1.4,0.054,-2.5,0,-2.5,-0.2
BOS,Jonas Jerebko,29,78,1232,9.3,0.537,0.496,0.141,5.4,19.1,12.3,8.1,1,1.1,12.3,11.4,0.8,1.3,2.1,0.08,-2.4,0.3,-2.1,0
BOS,Gerald Green,31,47,538,11.9,0.524,0.478,0.177,3.3,13.9,8.7,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.6,0.05,-2,-2.8,-4.7,-0.4
BOS,Tyler Zeller,27,51,525,13,0.508,0.006,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1,0.094,-3.3,0.8,-2.5,-0.1
BOS,James Young,21,29,220,10,0.549,0.603,0.155,3.1,10,6.6,2.6,2.3,0.7,6.1,13.3,0.1,0.2,0.3,0.076,-2,-1.1,-3.1,-0.1
BOS,Jordan Mickey,22,25,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-5.7,0.9,-4.9,-0.1
BOS,Demetrius Jackson,22,5,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.3,0
BRK,Brook Lopez,28,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2
BRK,Rondae Hollis-Jefferson,22,78,1761,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.9,1.9,-1,0.4
BRK,Sean Kilpatrick,27,70,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,0.4,1.1,1.4,0.04,-1.2,-1.8,-3,-0.4
BRK,Trevor Booker,29,71,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,1,2.2,3.1,0.086,-1.6,1.7,0.1,0.9
BRK,Isaiah Whitehead,21,73,1643,7.6,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2
BRK,Bojan Bogdanovic,27,55,1482,13,0.572,0.453,0.273,1.7,12.3,7,10.1,0.8,0.2,12,22.5,1,0.6,1.6,0.052,-0.4,-2.6,-3,-0.4
BRK,Spencer Dinwiddie,23,59,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,0.101,-0.7,-0.2,-0.9,0.4
BRK,Randy Foye,33,69,1284,7.3,0.506,0.625,0.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,-0.6,0.7,0.2,0.006,-3,-1,-3.9,-0.6
BRK,Caris LeVert,22,57,1237,12.3,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.8,1,1.8,0.07,-0.7,-0.4,-1.1,0.3
BRK,Justin Hamilton,26,64,1177,13.6,0.55,0.475,0.137,6.5,17,11.8,7.3,1.2,2.8,9.7,16.2,1,1,2.1,0.084,-0.9,0.2,-0.8,0.4
BRK,Joe Harris,25,52,1138,9,0.558,0.61,0.135,1.5,12,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-1.4,-1.5,-3,-0.3
BRK,Jeremy Lin,28,36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,0.116,2.5,-0.4,2.2,0.9
BRK,Quincy Acy,26,32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-1.1,-0.7,-1.8,0
BRK,Luis Scola,36,36,461,13.9,0.55,0.331,0.245,11.9,19.9,16,12.7,1.4,0.7,16.9,18.7,0.4,0.4,0.8,0.082,-0.8,-0.4,-1.1,0.1
BRK,K.J. McDaniels,23,20,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,0,0.3,0.3,0.046,-3.2,-0.4,-3.7,-0.1
BRK,Anthony Bennett,23,23,264,14.7,0.533,0.522,0.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.09,-0.8,-2.2,-3,-0.1
BRK,Archie Goodwin,22,12,184,18.6,0.633,0.213,0.525,4.1,11.9,8.1,20.8,1,1.6,15.7,20.7,0.4,0.1,0.5,0.131,0.3,-1.4,-1,0
BRK,Yogi Ferrell,23,10,151,6.5,0.482,0.551,0.327,2.8,5.5,4.2,16.9,0.6,1,20,19.9,-0.2,0,-0.2,-0.05,-4,-3.3,-7.3,-0.2
BRK,Andrew Nicholson,27,10,111,5,0.43,0.324,0.059,3.9,21.7,12.9,4,2.1,0,14.7,15.8,-0.2,0.1,-0.1,-0.03,-6.8,-1,-7.8,-0.2
BRK,Chris McCullough,21,14,72,16.8,0.541,0.194,0.097,13.4,11.6,12.5,4.9,0.7,2.1,5.8,20.4,0.1,0,0.1,0.098,-0.9,-3,-3.8,0
BRK,Greivis Vasquez,30,3,39,4.1,0.376,0.375,0.375,0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0,0,0,-0.006,-5.7,-1.8,-7.5,-0.1
CHO,Kemba Walker,26,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,5.3,-1.7,3.6,3.9
CHO,Nicolas Batum,28,77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,1.7,2.8,4.6,0.084,0.7,0.6,1.2,2.1
CHO,Michael Kidd-Gilchrist,23,81,2349,14.3,0.528,0.015,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,5.8,0.119,-2,2.2,0.2,1.3
CHO,Marvin Williams,30,76,2295,13.7,0.551,0.503,0.213,4.2,19.8,12,7.1,1.3,2,7.2,16.3,2.4,2.6,5,0.105,-0.3,0.5,0.2,1.3
CHO,Frank Kaminsky,23,75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.4,1.9,2.3,0.056,-0.8,-0.8,-1.5,0.2
CHO,Marco Belinelli,30,74,1778,13.3,0.566,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2,1.2,3.2,0.087,0.1,-2,-1.9,0.1
CHO,Cody Zeller,24,62,1725,16.7,0.604,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,3.4,2.2,5.6,0.157,-0.2,2.3,2.1,1.8
CHO,Jeremy Lamb,24,62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,0.115,-0.8,-0.9,-1.7,0.1
CHO,Ramon Sessions,30,50,811,12.4,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.7,0.3,12.7,20.1,0.3,0.6,0.9,0.055,-2.4,-2.2,-4.6,-0.5
CHO,Roy Hibbert,30,42,671,13.5,0.613,0,0.521,8.6,16,12.3,4.5,0.6,5.8,14.9,14,1,0.8,1.8,0.129,-2.9,1.8,-1.1,0.1
CHO,Spencer Hawes,28,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1,3.6,14.7,19.6,0.3,0.8,1.1,0.086,-1.8,1.2,-0.6,0.2
CHO,Brian Roberts,31,41,416,9.8,0.51,0.361,0.32,1.3,9,5.2,18.7,1.1,0.2,15.7,17.9,0,0.3,0.2,0.028,-3.3,-2.6,-5.9,-0.4
CHO,Treveon Graham,23,27,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.4,0.108,-1.5,-1.3,-2.8,0
CHO,Miles Plumlee,28,13,174,9,0.602,0,0.167,9.4,17.2,13.3,2.5,2,2,23.7,8.7,0.1,0.2,0.3,0.087,-3.9,1.3,-2.5,0
CHO,Briante Weber,24,13,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-2.1,-0.2,-2.3,0
