draft_year,pick,team,player,college,years,gp,mp,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws_58,bpm,vorp,all_stars,all_nba_1,all_nba_2,all_nba_3,mvp_candidacy
1990,1,NJN,Derrick Coleman,Syracuse University,15,781,25903,12884,7232,1985,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,0.119,1.3,21.7,1,0,0,2,0
1990,2,SEA,Gary Payton,Oregon State University,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,35.3,16.3,3.9,6.7,145.5,0.148,3.3,63,9,2,5,2,1
1990,3,DEN,Mahmoud Abdul-Rauf,Louisiana State University,9,586,15628,8553,1087,2079,0.442,0.354,0.905,26.7,14.6,1.9,3.5,25.2,0.077,-2.2,-0.7,0,0,0,0,0
1990,4,ORL,Dennis Scott,Georgia Institute of Technology,10,629,17983,8094,1774,1296,0.417,0.397,0.793,28.6,12.9,2.8,2.1,33.4,0.089,-0.4,7.3,0,0,0,0,0
1990,5,CHH,Kendall Gill,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.3,16.9,0,0,0,0,0
1990,6,MIN,Felton Spencer,University of Louisville,12,640,12298,3354,3436,213,0.484,0,0.658,19.2,5.2,5.4,0.3,20.9,0.081,-2.6,-1.9,0,0,0,0,0
1990,7,SAC,Lionel Simmons,La Salle University,7,454,13472,5833,2833,1498,0.433,0.305,0.771,29.7,12.8,6.2,3.3,16.9,0.06,0.1,7.2,0,0,0,0,0
1990,8,LAC,Bo Kimble,Loyola Marymount University,3,105,1336,574,162,98,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,0.004,-5.2,-1.1,0,0,0,0,0
1990,9,MIA,Willie Burton,University of Minnesota,8,316,6666,3243,932,393,0.424,0.345,0.786,21.1,10.3,2.9,1.2,9.1,0.065,-2.8,-1.4,0,0,0,0,0
1990,10,ATL,Rumeal Robinson,University of Michigan,6,336,6098,2546,606,1179,0.432,0.344,0.611,18.1,7.6,1.8,3.5,5.2,0.041,-2.2,-0.3,0,0,0,0,0
1990,11,GSW,Tyrone Hill,Xavier University,14,801,22388,7532,6854,647,0.502,0,0.643,28,9.4,8.6,0.8,56.2,0.12,-1,5.7,1,0,0,0,0
1990,12,HOU,Alec Kessler,University of Georgia,4,210,2937,1084,751,81,0.426,0.417,0.744,14,5.2,3.6,0.4,2,0.033,-6.3,-3.2,0,0,0,0,0
1990,13,LAC,Loy Vaught,University of Michigan,11,689,16993,6984,4881,652,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,0.101,-1.6,1.8,0,0,0,0,0
1990,14,SAC,Travis Mays,University of Texas at Austin,3,115,2964,1273,233,326,0.41,0.362,0.749,25.8,11.1,2,2.8,2.4,0.039,-2.6,-0.5,0,0,0,0,0
1991,1,CHH,Larry Johnson,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3,2,0,1,0,0
1991,2,NJN,Kenny Anderson,Georgia Institute of Technology,14,858,25868,10789,2641,5196,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116,0.8,18,1,0,0,0,0
1991,3,SAC,Billy Owens,Syracuse University,10,600,17619,7026,4016,1704,0.481,0.291,0.629,29.4,11.7,6.7,2.8,28.6,0.078,0.5,11.2,0,0,0,0,0
1991,4,DEN,Dikembe Mutombo,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153,2.1,38.2,8,0,1,2,0
1991,5,MIA,Steve Smith,Michigan State University,14,942,28855,13430,3060,2922,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.4,1,0,0,0,0
1991,6,DAL,Doug Smith,University of Missouri,5,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8,4.2,1.4,3,0.024,-3,-1.5,0,0,0,0,0
1991,7,MIN,Luc Longley,University of New Mexico,10,567,12006,4090,2794,836,0.462,0,0.76,21.2,7.2,4.9,1.5,17.5,0.07,-1.5,1.5,0,0,0,0,0
1991,8,DEN,Mark Macon,Temple University,6,251,5018,1685,467,428,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001,-3.2,-1.5,0,0,0,0,0
1991,9,ATL,Stacey Augmon,"University of Nevada, Las Vegas",15,1001,21658,7990,3216,1561,0.469,0.152,0.728,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8,0,0,0,0,0
1991,10,ORL,Bison Dele,University of Arizona,8,413,10004,4536,2564,440,0.528,0.143,0.691,24.2,11,6.2,1.1,22.8,0.109,-0.3,4.4,0,0,0,0,0
1991,11,CLE,Terrell Brandon,University of Oregon,11,724,21545,9994,2174,4407,0.448,0.355,0.873,29.8,13.8,3,6.1,65.9,0.147,2.4,23.7,2,0,0,0,0
1991,12,NYK,Greg Anthony,"University of Nevada, Las Vegas",11,757,15850,5497,1417,2997,0.403,0.349,0.733,20.9,7.3,1.9,4,35.9,0.109,0,8.1,0,0,0,0,0
1991,13,IND,Dale Davis,Clemson University,16,1094,29606,8706,8605,978,0.53,0,0.562,27.1,8,7.9,0.9,86.9,0.141,1.8,28.6,1,0,0,0,0
1991,14,SEA,Rich King,University of Nebraska,4,72,309,135,74,21,0.393,0,0.662,4.3,1.9,1,0.3,0.2,0.036,-5.8,-0.3,0,0,0,0,0
1992,1,ORL,Shaquille O'Neal,Louisiana State University,19,1207,41918,28596,13099,3026,0.582,0.045,0.527,34.7,23.7,10.9,2.5,181.7,0.208,5,74,15,8,2,4,5
